Serial Number,Defect Status,Date,Time,Month,Week,Week #,Operator,Operation,Station,Table,Location,Latitude,Gore,Type,Film Type,SubProcess,Condition,Criteria,Disposition,MRB Disposition,Comment
TK-778,Closed,2014-05-16,09:20:00,May 2014,20,3,102533,,3,3,B48_09B,-9,48,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING THAT IS INACCESSIBLE TO INTERIOR PATCHING,SSA PATCH (EXTERIOR),,
TK-778,Closed,2014-05-16,09:20:00,May 2014,20,3,102533,,3,3,B48_11B,-11,48,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING THAT IS INACCESSIBLE TO INTERIOR PATCHING,SSA PATCH (EXTERIOR),,
TK-778,Closed,2014-05-16,15:56:00,May 2014,20,3,103226,,3,3,08_ALL,0,8,PS,PE01,GORE SEALS,TUCK,*INSIDE TACK ZONE - LARGE (>1/4 IN),RESEAL,,
TK-778,Closed,2014-05-16,17:00:00,May 2014,20,3,103194,,3,3,08_ALL,0,8,PS,PE01,TENDON SLEEVE,DAMAGE,LARGER TEAR OR ABRASION GREATER THAN 4 IN,RESEAL,,cut out back to 7 from tendon sleeve damage on reseal
TK-778,Closed,2014-05-16,18:48:00,May 2014,20,3,103194,,3,3,07_32A,32,7,PS,PE01,TENDON SLEEVE,DAMAGE,SMALL LOCAL TEAR OR ABRASION 4 IN OR LESS,REDIRECT FILM CUT,,
TK-778,Closed,2014-05-16,21:11:00,May 2014,20,3,103675,,3,3,19_35A,35,19,PS,PE01,GORE SEALS,TUCK,*OUTSIDE TACK ZONE - SMALL (<1/4 IN) NO JAGGED EDGE SEAL,SSA PATCH,,
TK-779,Closed,2014-05-16,03:44:00,May 2014,20,3,102351,,5,5,B01_21B,-21,1,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-779,Closed,2014-05-16,04:14:00,May 2014,20,3,102533,,5,5,B03_34A,34,3,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-779,Closed,2014-05-16,04:27:00,May 2014,20,3,102351,,5,5,B04_36A,36,4,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,04:57:00,May 2014,20,3,102351,,5,5,B06_36A,36,6,PB,CONVENTIONAL,GORE SEALS,CLEAR EDGE,THINNING THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE),VERTROD,,
TK-779,Closed,2014-05-16,05:30:00,May 2014,20,3,102350,,5,5,B07_32A,32,7,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-779,Closed,2014-05-16,05:55:00,May 2014,20,3,102351,,5,5,B10_03A,3,10,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-779,Closed,2014-05-16,06:59:00,May 2014,20,3,102351,,5,5,B15_31A,31,15,PB,CONVENTIONAL,GORE SEALS,TUCK,I-90 BALLONET - *BALLONET FILM TO BALLONET FILM - SMALL (<1/4 IN); WITH BUBBLED SEAL,VERTROD & SSA PATCH,,
TK-779,Closed,2014-05-16,08:50:00,May 2014,20,3,102351,,5,5,B22_19B,-19,22,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-779,Closed,2014-05-16,09:56:00,May 2014,20,3,102351,,5,5,B25_36A,36,25,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,10:58:00,May 2014,20,3,102351,,5,5,B32_18B,-18,32,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-779,Closed,2014-05-16,11:06:00,May 2014,20,3,102351,,5,5,B33_29A,29,33,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-779,Closed,2014-05-16,12:07:00,May 2014,20,3,103301,,5,5,B39_07A,7,39,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-779,Closed,2014-05-16,12:34:00,May 2014,20,3,103301,,5,5,B42_32A,32,42,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,12:44:00,May 2014,20,3,103301,,5,5,B43_36A,36,43,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,12:44:00,May 2014,20,3,103301,,5,5,B43_37A,37,43,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,12:48:00,May 2014,20,3,103301,,5,5,B43_32A,32,43,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,12:55:00,May 2014,20,3,103301,,5,5,B45_16A,16,45,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-779,Closed,2014-05-16,13:05:00,May 2014,20,3,103301,,5,5,B45_04B,-4,45,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,13:23:00,May 2014,20,3,103301,,5,5,B47_36A,36,47,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,13:23:00,May 2014,20,3,103301,,5,5,B47_37A,37,47,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,14:05:00,May 2014,20,3,103627,,5,5,B48_35B,-35,48,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,14:06:00,May 2014,20,3,103627,,5,5,B48_36B,-36,48,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,14:07:00,May 2014,20,3,103627,,5,5,B48_21A,21,48,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-779,Closed,2014-05-16,21:08:00,May 2014,20,3,103301,,5,5,12_22A,22,12,PS,PE01,GORE SEALS,TUCK,*INSIDE TACK ZONE - LARGE (>1/4 IN),RESEAL,,
TK-779,Closed,2014-05-17,05:56:00,May 2014,20,3,101501,,5,5,26_ALL,0,26,PS,PE01,GORE SEALS,DEEP KNIFE CUT,DROP TRIMMING KNIFE CUTS TO WITHIN 1/10 IN OF GAS SEAL EDGE,RESEAL,,when trimming cut the seal w the scissors
TK-779,Closed,2014-05-17,05:59:00,May 2014,20,3,101501,,5,5,20_ALL,0,20,PS,PE01,GORE SEALS,FILM DAMAGE,HOLE OR YIELDING INSIDE GAS EDGE ON GORE FILM (MACHINE DAMAGE),RESEAL,,measurement  was too wide
TK-779,Closed,2014-05-17,06:11:00,May 2014,20,3,103360,,5,5,19_26A,26,19,PS,PE01,GORE SEALS,JAGGED EDGE,OUTSIDE TAPE TACK ZONE; EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-779,Closed,2014-05-17,09:43:00,May 2014,20,3,103301,,5,5,36_11B,-11,36,PS,PE01,GORE SEALS,CONTAMINATION,INSIDE TAPE TACK ZONE; CONTAMINATION THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE),RESEAL,,
TK-779,Closed,2014-05-17,10:30:00,May 2014,20,3,103301,,5,5,39_15A,15,39,PS,PE01,GORE SEALS,TUCK,INSIDE TACK ZONE - SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,RESEAL,,
TK-779,Closed,2014-05-17,12:21:00,May 2014,20,3,103194,,5,5,48_37B,-37,48,PS,PE01,GORE SEALS,TUCK,FINAL SEAL - OUTSIDE TACK ZONE - LARGE (>1/4 IN),INCISION & VERTROD,,Anngea said leave for days
TK-779,Closed,2014-05-21,04:01:00,May 2014,21,3,103129,,5,5,48_36A,36,48,PS,PE01,GORE SEALS,TUCK,FINAL SEAL - OUTSIDE TACK ZONE - SMALL (<1/4 IN); NO JAGGED EDGE SEAL,SSA PATCH (APPLIED EXTERIOR),,
TK-779,Closed,2014-05-22,04:32:00,May 2014,21,4,103129,,5,5,B01_36A,36,1,PB,CONVENTIONAL,GORE FILM,FINGER PULL,ANY CONFINED YIELDING RESEMBLING A FINGERTIP,SSA PATCH,,patched
TK-779,Closed,2014-05-22,04:33:00,May 2014,21,4,103129,,5,5,B48_36A,36,48,PB,CONVENTIONAL,GORE FILM,FINGER PULL,ANY CONFINED YIELDING RESEMBLING A FINGERTIP,SSA PATCH,,patched
TK-780,Closed,2014-05-16,19:51:00,May 2014,20,3,103485,,1,1,B01_19A,19,1,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-780,Closed,2014-05-16,19:58:00,May 2014,20,3,103485,,1,1,B01_31A,31,1,PB,CONVENTIONAL,GORE SEALS,CLEAR EDGE,THINNING THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE),VERTROD,,
TK-780,Closed,2014-05-16,20:27:00,May 2014,20,3,103485,,1,1,B02_22B,-22,2,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-780,Closed,2014-05-16,20:50:00,May 2014,20,3,103485,,1,1,B04_36A,36,4,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-780,Closed,2014-05-16,20:52:00,May 2014,20,3,103485,,1,1,B04_25A,25,4,PB,CONVENTIONAL,GORE SEALS,CLEAR EDGE,THINNING THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE),VERTROD,,
TK-780,Closed,2014-05-16,21:19:00,May 2014,20,3,103485,,1,1,B07_13B,-13,7,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-780,Closed,2014-05-16,21:43:00,May 2014,20,3,103485,,1,1,B10_25A,25,10,PB,CONVENTIONAL,GORE SEALS,CLEAR EDGE,THINNING THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE),VERTROD,,
TK-780,Closed,2014-05-17,01:50:00,May 2014,20,3,103441,,1,1,B15_00B,0,15,PB,CONVENTIONAL,GORE SEALS,CLEAR EDGE,THINNING THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE),VERTROD,,
TK-780,Closed,2014-05-17,01:53:00,May 2014,20,3,101501,,1,1,B14_36B,-36,14,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-780,Closed,2014-05-17,02:05:00,May 2014,20,3,103258,,1,1,B18_36A,36,18,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-780,Closed,2014-05-17,02:06:00,May 2014,20,3,103258,,1,1,B18_36B,-36,18,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-780,Closed,2014-05-17,02:07:00,May 2014,20,3,103258,,1,1,B18_32A,32,18,PB,CONVENTIONAL,GORE SEALS,TUCK,*SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-780,Closed,2014-05-17,02:13:00,May 2014,20,3,103258,,1,1,B19_32A,32,19,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-780,Closed,2014-05-17,02:38:00,May 2014,20,3,101501,,1,1,B23_36B,-36,23,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-780,Closed,2014-05-17,02:44:00,May 2014,20,3,103258,,1,1,B24_32A,32,24,PB,CONVENTIONAL,GORE SEALS,TUCK,*SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-780,Closed,2014-05-17,02:56:00,May 2014,20,3,101501,,1,1,B26_29B,-29,26,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-780,Closed,2014-05-17,03:45:00,May 2014,20,3,101501,,1,1,B31_32A,32,31,PB,CONVENTIONAL,GORE SEALS,TUCK,*SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-780,Closed,2014-05-17,03:47:00,May 2014,20,3,101501,,1,1,B30_ALL,0,30,PB,CONVENTIONAL,GORE SEALS,FILM DAMAGE,HOLE OR YIELDING INSIDE GAS EDGE ON GORE FILM (MACHINE DAMAGE),RESEAL,,
TK-780,Closed,2014-05-17,03:48:00,May 2014,20,3,101501,,1,1,B30_32A,32,30,PB,CONVENTIONAL,GORE SEALS,TUCK,SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-780,Closed,2014-05-17,03:48:00,May 2014,20,3,101501,,1,1,B30_34A,34,30,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-780,Closed,2014-05-17,04:10:00,May 2014,20,3,101501,,1,1,B36_02B,-2,36,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-780,Closed,2014-05-17,04:11:00,May 2014,20,3,101501,,1,1,B35_32A,32,35,PB,CONVENTIONAL,GORE SEALS,TUCK,SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-780,Closed,2014-05-17,04:46:00,May 2014,20,3,101501,,1,1,B38_33B,-33,38,PB,CONVENTIONAL,GORE SEALS,TUCK,SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-780,Closed,2014-05-17,05:20:00,May 2014,20,3,101501,,1,1,B42_36B,-36,42,PB,CONVENTIONAL,GORE SEALS,JAGGED EDGE,EDGE IRREGULARITIES ON GAS SIDE OF SEAL; SAWTOOTHED OR BUBBLED,VERTROD,,
TK-780,Closed,2014-05-17,05:46:00,May 2014,20,3,101501,,1,1,B47_33B,-33,47,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-780,Closed,2014-05-17,14:18:00,May 2014,20,3,103301,,1,1,07_37A,37,7,PS,PE01,GORE SEALS,TUCK,OUTSIDE TACK ZONE - SMALL (<1/4 IN) NO JAGGED EDGE SEAL,SSA PATCH,,
TK-780,Closed,2014-05-20,01:19:00,May 2014,21,3,103441,,1,1,22_36B,-36,22,PS,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-781,Closed,2014-05-17,14:31:00,May 2014,20,3,103226,,3,3,B05_33B,-33,5,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-781,Closed,2014-05-17,14:33:00,May 2014,20,3,103226,,3,3,B04_24B,-24,4,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-781,Closed,2014-05-17,14:34:00,May 2014,20,3,103226,,3,3,B01_35B,-35,1,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING THAT IS INACCESSIBLE TO INTERIOR PATCHING,SSA PATCH (EXTERIOR),,
TK-781,Closed,2014-05-17,14:35:00,May 2014,20,3,103226,,3,3,B01_25B,-25,1,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING THAT IS INACCESSIBLE TO INTERIOR PATCHING,SSA PATCH (EXTERIOR),,
TK-781,Closed,2014-05-17,14:36:00,May 2014,20,3,103226,,3,3,B01_00B,0,1,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING THAT IS INACCESSIBLE TO INTERIOR PATCHING,SSA PATCH (EXTERIOR),,
TK-781,Closed,2014-05-17,14:54:00,May 2014,20,3,103226,,3,3,B06_16A,16,6,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-781,Closed,2014-05-17,15:07:00,May 2014,20,3,103226,,3,3,B06_16B,-16,6,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-781,Closed,2014-05-17,15:08:00,May 2014,20,3,103226,,3,3,B08_33B,-33,8,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-781,Closed,2014-05-17,15:09:00,May 2014,20,3,103226,,3,3,B01_25B,-25,1,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-781,Closed,2014-05-17,15:10:00,May 2014,20,3,103226,,3,3,B01_00B,0,1,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-781,Closed,2014-05-17,15:11:00,May 2014,20,3,103226,,3,3,B01_35B,-35,1,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-781,Closed,2014-05-17,15:29:00,May 2014,20,3,103226,,3,3,B10_32B,-32,10,PB,CONVENTIONAL,GORE SEALS,TUCK,SMALL (<1/4 IN) WITH NO JAGGED EDGE SEAL,SSA PATCH,,
TK-781,Closed,2014-05-20,02:35:00,May 2014,21,3,102533,,1,3,B14_33B,-33,14,PB,CONVENTIONAL,GORE FILM,FINGER PULL,ANY CONFINED YIELDING RESEMBLING A FINGERTIP,SSA PATCH,,
TK-781,Closed,2014-05-20,02:36:00,May 2014,21,3,102533,,3,3,B14_35B,-35,14,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-781,Closed,2014-05-20,03:38:00,May 2014,21,3,102533,,3,3,B17_ALL,0,17,PB,CONVENTIONAL,GORE SEALS,VOID C-FOLD/BACKING,SHELL OR BALLONET - OCCURS GREATER THAN 48 IN FROM APEX MARKLINE,RESEAL,,ran out of back up tape at 25B
TK-781,Closed,2014-05-20,04:13:00,May 2014,21,3,102533,,3,3,B20_34B,-34,20,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-781,Closed,2014-05-20,06:42:00,May 2014,21,3,102526,,3,3,B32_32A,32,32,PB,CONVENTIONAL,GORE SEALS,TUCK,SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-781,Closed,2014-05-20,07:42:00,May 2014,21,3,102526,,3,3,B38_22A,22,38,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-781,Closed,2014-05-20,07:58:00,May 2014,21,3,101501,,3,3,B41_09A,9,41,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-781,Closed,2014-05-20,08:11:00,May 2014,21,3,101501,,3,3,B42_32A,32,42,PB,CONVENTIONAL,GORE SEALS,TUCK,SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-781,Closed,2014-05-20,08:42:00,May 2014,21,3,102526,,3,3,B47_36A,36,47,PB,CONVENTIONAL,GORE SEALS,OTHER,SUDDEN CHANGE IN OVERALL FEEL OR APPEARANCE,MRB,,fod in seal
TK-781,Closed,2014-05-20,09:14:00,May 2014,21,3,101501,,3,3,B48_00B,0,48,PB,CONVENTIONAL,GORE FILM,FINGER PULL,ANY CONFINED YIELDING RESEMBLING A FINGERTIP,SSA PATCH,,
TK-781,Closed,2014-05-20,09:15:00,May 2014,21,3,101501,,3,3,B48_01A,1,48,PB,CONVENTIONAL,GORE FILM,FINGER PULL,ANY CONFINED YIELDING RESEMBLING A FINGERTIP,SSA PATCH,,
